"","id","vf_age","vf_party","vf_racename","vf_female","vf_black","vf_white","vf_hispanic","vf_vg_14","vf_vg_12","vf_vg_10","vf_democrat","vf_republican","miami_trans_law_t0","miami_trans_law2_t0","gender_norm_daugher_t0","gender_norm_looks_t0","gender_norm_rights_t0","gender_norms_sexchange_t0","gender_norms_moral_t0","gender_norms_abnormal_t0","ssm_t0","therm_obama_t0","therm_gay_t0","therm_trans_t0","therm_marijuana_t0","therm_afams_t0","ideology_t0","religious_t0","respondent_t0","exposure_gay_t0","exposure_trans_t0","pid_t0","scale_for_blocking_t0","miami_trans_law_t1","miami_trans_law2_t1","therm_obama_t1","therm_trans_t1","therm_marijuana_t1","gender_norm_looks_t1","gender_norm_rights_t1","gender_norm_sexchange_t1","gender_norm_moral_t1","gender_norm_abnormal_t1","gender_norm_trans_moral_wrong_t1","respondent_t1","respondent_t2","respondent_t3","respondent_t4","contacted","survey_language_es","sdo_scale","treat_ind","cluster_level_t0_scale_mean","vf_independent","all.dvs.t1","trans.tolerance.dv.t0","trans.tolerance.dv.t1","miami_trans_law_t0_avg","miami_trans_law_t1_avg","gender_nonconformity_t0","gender_nonconformity_t1","treatment.delivered","t1.resid"
"66556",65698,29,"D","African American",0,1,0,0,0,1,0,1,0,2,-1,1,-2,-1,-2,-2,-1,-3,83,0,0,94,49,2,0,1,1,0,0,-1.45033025741577,2,-2,71,3,83,-2,-2,-2,-2,-2,-2,1,1,1,0,1,0,-6.6307687118794e-10,0,-1.45033025741577,0,-2.07456302307965,-1.940303318255,-2.23045673801869,0.5,0,-0.880250101748978,-1.30883732249572,FALSE,-0.392003608525093
"66558",34091,35,"D","African American",1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,100,50,50,50,100,3,2,1,1,0,3,0.0830728486180305,3,3,100,100,100,2,-2,0,0,2,0,1,1,1,1,1,0,0.0711129382252693,1,0.559489369392395,0,0.981637099176387,-0.0845401336505679,0.807246958762083,0,3,0.547622133241092,0.456756809811638,TRUE,0.824031596800984
"66561",22968,63,"D","African American",1,1,0,0,1,1,1,1,0,0,-3,0,0,0,0,0,0,0,100,50,50,50,100,2,0,1,1,1,1,0.0140882264822721,0,2,100,50,41,0,0,0,0,0,0,1,1,1,1,1,0,-0.550337672233582,1,0.0249976254999638,0,-0.193447589150985,-0.0845401336505679,-0.0961481004795024,-1.5,1,0.547622133241092,0.559228919758662,TRUE,0.0389698462432814
"66563",38268,51,"N","Caucasian",1,0,1,0,1,1,0,0,0,2,2,1,0,-2,0,0,1,2,0,58,47,50,61,0,3,1,1,1,0,0.138925403356552,-1,-1,0,30,50,0,0,1,-1,0,0,1,1,1,1,1,0,-0.101048409938812,0,0.138925403356552,1,-0.846974471496779,0.144804956482562,-0.321581287218878,2,-1,-0.440005277800652,0.559228919758662,FALSE,-0.499240969708705
"66565",63418,26,"D","African American",1,1,0,0,1,1,0,1,0,2,0,2,-2,0,0,0,-1,0,75,80,74,74,100,0,2,1,1,0,3,0.039139810949564,0,2,74,50,70,-2,-1,0,0,0,0,1,1,1,1,1,0,-6.6307687118794e-10,0,0.039139810949564,0,-0.193447589150985,-0.0721288443019816,-0.0961481004795024,1,1,-0.386436396228105,-0.816202734445365,FALSE,0.0313161062778093
"66568",11223,62,"D","African American",1,1,0,0,1,1,1,1,0,3,3,1,-1,-2,1,1,1,-2,100,73,76,25,97,-2,2,1,1,0,3,0.450416833162308,3,3,100,84,62,-2,-1,1,1,1,1,1,0,1,1,1,0,-0.9012371301651,1,0.0567084699869156,0,1.164466945361,0.986794525085087,1.06734309638099,3,3,-0.907034542535251,-0.816202734445365,TRUE,0.742866524990455
"66569",21072,20,"D","African American",0,1,0,0,1,0,0,1,0,2,2,-1,-2,-2,0,-1,1,-3,100,40,50,68,90,-1,2,1,0,0,3,-0.336999893188477,1,0,100,50,50,-2,-2,2,0,-2,-2,1,0,0,1,1,0,-0.759921252727509,1,0.0567084699869156,0,-0.6956080669521,-0.0760326627220169,-0.616735913164824,2,0.5,-1.37406380726985,-1.30883732249572,TRUE,-0.065033746000826
"66578",14701,51,"R","Caucasian",1,0,1,0,1,1,1,0,1,-3,-3,-2,-1,-2,-2,1,-2,-2,7,100,50,100,100,-3,5,1,1,0,-2,-0.810814738273621,-3,-3,23,50,50,-1,-2,-2,1,-2,1,1,1,1,1,1,0,0.418869495391846,0,-0.810814738273621,0,-1.44817923957328,-0.862451872156486,-0.460891853878932,-3,-3,-0.907034542535251,-0.867438789418877,FALSE,0.252627632334479
"66612",66453,53,"R","Caucasian",1,0,1,0,0,1,1,0,1,3,3,2,2,0,2,2,2,3,95,100,100,98,100,3,2,1,1,1,3,1.76535618305206,3,3,50,50,100,1,-2,2,2,2,2,1,1,1,1,1,0,-0.674086451530457,1,1.76535618305206,0,1.54691539786356,2.03510476672724,1.60693832084327,3,3,1.48168066271029,0.0153582767347996,FALSE,-0.0459024887733999
"66616",20435,66,"D","Hispanic",1,0,0,1,1,1,1,1,0,3,2,-1,0,-1,1,0,1,2,88,65,64,64,64,2,3,1,1,1,3,0.54099178314209,3,2,94,89,50,0,-2,2,1,1,1,1,1,1,1,1,0,0.114484965801239,1,0.54099178314209,0,1.22178128139624,0.593273777679281,1.29632277789733,2.5,2.5,0.0538084277202204,-0.426040256342039,TRUE,0.581483698991189
